YEAR,CODE_REGION,REGION,CODE_AREA,AREA,MONTHLY_INCOME,CURRENT_INCOME,MONEY_INCOME,FROM_WORK,CURRENT_TRANSFER,PROPERTY_INCOME,NONMONEY_INCOME,NONCUR_M_INCOME,UNIT,SOURCE
0.00021807599327638982,1.0,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,1.0,ในเขตเทศบาล,0.13272902873975673,42560.0,37560.0,1156.0,3204.0,33199.0,5000.0,206.0,บาท,สำนักงานสถิติแห่งชาติ
0.00021807599327638982,5.0,ใต้,1.0,ในเขตเทศบาล,0.06841052730559495,184388.67870047095,26023.0,,2924.0,22620.0,3299.0,178.0,บาท,สำนักงานสถิติแห่งชาติ
0.00021807599327638982,2.0,กลาง,1.0,ในเขตเทศบาล,0.05747260033171668,26967.0,24022.0,296.0,2455.0,21271.0,2944.0,,,สำนักงานสถิติแห่งชาติ
0.00021807599327638982,,เหนือ,0.0,เขตการปกครอง,0.017269900656451398,18542.0,15582.0,260.0,2864.0,12459.0,2960.0,410.0,บาท,สำนักงานสถิติแห่งชาติ
0.00021807599327638982,3.0,เหนือ,9.90148954765859,ในเขตเทศบาล,0.024295191518663092,20008.0,17058.0,343.0,3111.0,13604.0,2951.0,392.0,,สำนักงานสถิติแห่งชาติ
0.00021807599327638982,3.0,เหนือ,2.0,นอกเขตเทศบาล,0.01307121060353536,17665.0,14700.0,210.0,2716.0,,,421.0,บาท,สำนักงานสถิติแห่งชาติ
0.00021807599327638982,4.0,ตะวันออกเฉียงเหนือ,0.0,เขตการปกครอง,0.027655113235373036,20614.0,16950.0,166.0,,13285.0,3664.0,480.0,บาท,สำนักงานสถิติแห่งชาติ
0.00021807599327638982,4.0,ตะวันออกเฉียงเหนือ,1.0,ในเขตเทศบาล,0.05018064901579786,25272.0,21820.0,268.0,3877.0,17675.0,3452.0,,บาท,สำนักงานสถิติแห่งชาติ
0.00021807599327638982,5.0,ใต้,0.0,เขตการปกครอง,0.0528278600653269,25826.0,22695.0,324.0,2324.0,20047.0,3131.0,,,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,3.0,เหนือ,,เขตการปกครอง,0.017725647613696327,,15555.0,,,12220.0,3092.0,399.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,0.0,ทั่วราชอาณาจักร,0.0,เขตการปกครอง,0.056027785509812564,26603.0,22878.0,386.0,3132.0,19359.0,3725.0,343.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,0.0,ทั่วราชอาณาจักร,1.0,,1.0,32491.0,28407.0,610.0,,24238.0,4084.0,253.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,0.0,ทั่วราชอาณาจักร,2.0,นอกเขตเทศบาล,0.03137866284350181,21440.0,18029.0,190.0,2759.0,15081.0,3411.0,423.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,1.0,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,2.0,นอกเขตเทศบาล,0.0994352590014491,35802.0,31843.0,439.0,2126.0,29279.0,3959.0,97.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,2.0,กลาง,,เขตการปกครอง,0.05649322921082865,26675.0,157095.483066912,192.0,2353.0,20924.0,3206.0,367.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,2.0,กลาง,1.0,ในเขตเทศบาล,0.06852688823084897,29255.0,,203.0,2388.0,23456.0,3208.0,269.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,2.0,,2.0,นอกเขตเทศบาล,0.047101932868451796,24663.0,21459.0,183.0,2326.0,18949.0,3204.0,443.0,บาท,
0.00032711398991458474,5.0,ใต้,0.0,เขตการปกครอง,0.05586778923758827,26657.0,23202.0,245.0,2363.0,,,256.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,3.0,เหนือ,1.0,ในเขตเทศบาล,0.033259831135108525,21786.0,,436.0,3602.0,14589.0,3158.0,464.0,,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,3.0,เหนือ,2.0,นอกเขตเทศบาล,0.008552528006170762,,,252.0,2667.0,10820.0,3053.0,361.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,4.0,ตะวันออกเฉียงเหนือ,0.0,เขตการปกครอง,0.02366490317353713,19752.0,,167.0,3812.0,,,519.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,5.0,ใต้,2.0,นอกเขตเทศบาล,0.045618331071463,24540.0,21250.0,137.0,1716.0,19397.0,3289.0,260.0,บาท,สำนักงานสถิติแห่งชาติ
0.00032711398991458474,5.0,ใต้,1.0,ในเขตเทศบาล,0.07408312241172861,30421.0,26670.0,437.0,3513.0,22720.0,3751.0,249.0,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,1.0,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,0.0,เขตการปกครอง,0.10841444373355129,,33007.0,368.0,22557.253808648427,124174.99076516536,,120.0,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,0.0,ทั่วราชอาณาจักร,0.0,เขตการปกครอง,0.051528496399990284,25718.0,22050.0,227.0,3330.0,18493.0,3668.0,301.0,บาท,
0.00043615198655277965,3.0,เหนือ,2.0,นอกเขตเทศบาล,0.014516025425439491,17745.0,14601.0,,3078.0,11340.0,,639.0,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,1.0,,1.0,ในเขตเทศบาล,0.11297191330600055,38583.0,33893.0,412.0,3344.0,30137.0,4690.0,108.0,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,2.0,กลาง,2.0,นอกเขตเทศบาล,0.04639891894504207,24714.0,21546.0,,2382.0,18987.0,3167.0,246.0,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,,เหนือ,1.0,ในเขตเทศบาล,0.03948514063619882,23219.0,19872.0,397.0,4405.0,15070.0,3347.0,316.0,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,4.0,ตะวันออกเฉียงเหนือ,1.0,,0.050229132734653695,25301.0,21614.0,254.0,,124174.99076516536,3687.0,448.0,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,4.0,ตะวันออกเฉียงเหนือ,0.0,เขตการปกครอง,0.025260017523894382,20175.0,,140.0,22557.253808648427,11960.0,3799.0,,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,,ตะวันออกเฉียงเหนือ,2.0,นอกเขตเทศบาล,0.014079671955736908,17879.0,14029.0,89.0,,9739.0,3850.0,415.0,บาท,สำนักงานสถิติแห่งชาติ
0.00043615198655277965,5.0,,0.0,เขตการปกครอง,0.04972975043043851,25466.0,22283.0,175.0,2695.0,19413.0,3183.0,181.0,บาท,
0.00043615198655277965,5.0,ใต้,2.0,นอกเขตเทศบาล,0.04634558685430064,,21635.0,131.0,2526.0,18979.0,3116.0,198.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,5.0,ใต้,1.0,ในเขตเทศบาล,0.0689535449567804,29271.0,24775.0,310.0,3993.0,20472.0,4496.0,341.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,,ทั่วราชอาณาจักร,0.0,เขตการปกครอง,0.05799622449535981,27018.0,22367.0,243.0,3869.0,18255.0,4650.0,334.0,บาท,
0.0005451899831909746,0.0,ทั่วราชอาณาจักร,1.0,ในเขตเทศบาล,0.07910118731330841,31430.0,26351.0,351.0,4078.0,21921.0,5079.0,275.0,,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,0.0,เขตการปกครอง,0.11469793369726859,38737.0,32223.0,449.0,,28183.0,6514.0,310.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,0.0,ทั่วราชอาณาจักร,2.0,นอกเขตเทศบาล,0.039582108073910494,23168.0,18892.0,149.0,3686.0,15057.0,4276.0,386.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,1.0,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,2.0,นอกเขตเทศบาล,0.1090253385911349,,30945.0,,,,,699.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,2.0,กลาง,0.0,,0.061942799210225455,27903.0,23786.0,199.0,,20404.0,4118.0,263.0,บาท,
0.0005451899831909746,3.0,เหนือ,1.0,ในเขตเทศบาล,0.03942211180168621,23213.0,19133.0,323.0,4570.0,14240.0,4080.0,308.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,2.0,,1.0,ในเขตเทศบาล,0.06766387803521497,29102.0,25081.0,223.0,3560.0,,4020.0,244.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,2.0,กลาง,2.0,นอกเขตเทศบาล,0.057506538934915793,26975.0,22781.0,,2889.0,19711.0,4194.0,277.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,3.0,เหนือ,0.0,เขตการปกครอง,0.027175124418700194,20610.0,16617.0,257.0,4151.0,12209.0,3993.0,385.0,,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,4.0,ตะวันออกเฉียงเหนือ,0.0,เขตการปกครอง,0.03004536057496611,21172.0,,134.0,4838.0,11934.0,4267.0,415.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,3.0,เหนือ,2.0,นอกเขตเทศบาล,0.020183772159687585,19124.0,15181.0,219.0,3912.0,11050.0,3943.0,429.0,,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,4.0,ตะวันออกเฉียงเหนือ,1.0,ในเขตเทศบาล,0.04750919610684089,24849.0,20701.0,245.0,5110.0,15346.0,4148.0,341.0,บาท,สำนักงานสถิติแห่งชาติ
0.0005451899831909746,5.0,ใต้,0.0,,0.05445206464699766,26352.0,22218.0,179.0,3200.0,18839.0,4133.0,270.0,บาท,
0.0006542279798291695,4.0,ภาคตะวันออกเฉียงเหนือ,2.0,นอกเขตเทศบาล,0.02649635235471838,20493.0,16164.0,134.0,4675.0,11355.0,4330.0,362.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,,ภาคกลาง,0.0,,0.071804387625504,,26262.0,190.0,3036.0,23036.0,3677.0,261.0,บาท,
0.0006542279798291695,0.0,ทั่วราชอาณาจักร,0.0,เขตการปกครอง,0.0661317925193703,28706.0,24501.0,242.0,3794.0,20465.0,22907.25218337995,325.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,,ทั่วราชอาณาจักร,1.0,ในเขตเทศบาล,0.08762947346005125,33157.0,28764.0,325.0,4141.0,24297.0,4393.0,307.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,0.0,,2.0,นอกเขตเทศบาล,0.04660255056423661,24662.0,,166.0,3480.0,16983.0,4033.0,340.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,1.0,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,0.0,เขตการปกครอง,0.11489186857269194,38905.0,,334.0,3448.0,30027.0,,182.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,1.0,,9.90148954765859,ในเขตเทศบาล,0.11754877636599216,39449.0,34312.0,361.0,3651.0,30300.0,5138.0,185.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,1.0,กรุงเทพมหานคร นนทบุรี ปทุมธานี และสมุทรปราการ,2.0,,0.1016655100688179,,31309.0,202.0,2441.0,28666.0,4884.0,166.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,23.118403572637032,ภาคใต้,1.0,ในเขตเทศบาล,0.0764733697513217,30900.0,26853.0,386.0,3631.0,,4047.0,263.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,3.0,,1.0,ในเขตเทศบาล,0.059441039317263925,27084.0,23012.0,508.0,5193.0,17311.0,,566.0,,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,23.118403572637032,ภาคตะวันออกเฉียงเหนือ,,เขตการปกครอง,0.034588285031758634,22130.0,17908.0,161.0,5024.0,12724.0,4221.0,395.0,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,4.0,ภาคตะวันออกเฉียงเหนือ,1.0,ในเขตเทศบาล,0.05215393637323067,25681.0,21695.0,219.0,5782.0,15694.0,3986.0,,บาท,สำนักงานสถิติแห่งชาติ
0.0006542279798291695,5.0,,0.0,เขตการปกครอง,0.06371730332034932,28183.0,24279.0,226.0,2864.0,21189.0,3905.0,349.0,บาท,สำนักงานสถิติแห่งชาติ
1.0000000000000002,2.0,กลาง,,นอกเขตเทศบาล,0.04548257665866663,24465.0,21472.0,2576.20770381491,2024.0,19218.0,,306.0,บาท,สำนักงานสถิติแห่งชาติ
1.0000000000000002,,ใต้,1.0,,0.055882334353245036,26765.0,23459.0,256.0,3001.0,20202.0,3307.0,151.0,บาท,
